"nuts2_code","country_code","year","fertility","poverty","family_exp","Mismatch","dist_to_median"
"RO22","RO",2017,1.89,52.4,141.46,"High Fert / Low Spend",83.22370999999998
"PL62","PL",2019,1.35,23.7,265.93,"High Investment, Low Fertility",41.786290000000015
"ITH3","IT",2017,1.36698,13,307.65,"High Investment, Low Fertility",83.48930999999999
"ITF3","IT",2017,1.36197,43,307.65,"High Investment, Low Fertility",83.49431999999999
"ITC2","IT",2017,1.35592,17.2,307.65,"High Investment, Low Fertility",83.50036999999999
"PL52","PL",2019,1.33,17.8,265.93,"High Investment, Low Fertility",41.80629000000001
"HU23","HU",2017,1.55,30.4,182.47,"High Fert / Low Spend",41.873709999999996
"ITI1","IT",2017,1.29473,17.4,307.65,"High Investment, Low Fertility",83.56155999999999
"ITI3","IT",2017,1.26097,20.9,307.65,"High Investment, Low Fertility",83.59531999999999
"PL42","PL",2019,1.32,16.5,265.93,"High Investment, Low Fertility",41.816290000000016
"ITF2","IT",2017,1.20144,35,307.65,"High Investment, Low Fertility",83.65484999999998
"ES62","ES",2018,1.52629,33.2,308.04,"Balanced Investment",83.72000000000003
"ES22","ES",2018,1.37788,13.1,308.04,"High Investment, Low Fertility",83.86841000000003
"CZ03","CZ",2018,1.72,9.4,265.97,"Balanced Investment",41.84371000000004
"ES24","ES",2018,1.28449,17.8,308.04,"High Investment, Low Fertility",83.96180000000003
"ES42","ES",2018,1.26129,33.4,308.04,"High Investment, Low Fertility",83.98500000000003
"ES53","ES",2018,1.24665,17.3,308.04,"High Investment, Low Fertility",83.99964000000003
"CZ05","CZ",2018,1.74,11.6,265.97,"Balanced Investment",41.86371000000003
"HR04","HR",2019,1.49,21.6,140.29,"Low Priority Region",84.06629
"ES13","ES",2018,1.11039,24.4,308.04,"High Investment, Low Fertility",84.13590000000002
"ES11","ES",2018,1.04073,24.1,308.04,"High Investment, Low Fertility",84.20556000000003
"SK02","SK",2017,1.34,12.9,198.41,"Low Priority Region",26.096289999999996
"BG42","BG",2017,1.79732,45,182.62,"High Fert / Low Spend",41.97102999999999
"HU33","HU",2019,1.55,16.5,181.05,"High Fert / Low Spend",43.29370999999998
"SI03","SI",2018,1.64,17.3,270.04,"Balanced Investment",45.833710000000025
"NL41","NL",2018,1.58,13.4,190.84,"High Fert / Low Spend",33.53370999999999
"PL91","PL",2019,1.6,12.9,308.95,"Balanced Investment",84.70371
"PL63","PL",2019,1.62,15,308.95,"Balanced Investment",84.72371
"PL84","PL",2019,1.42,20.5,308.95,"High Investment, Low Fertility",84.73629
"BG32","BG",2017,1.71635,43,182.62,"High Fert / Low Spend",41.89005999999999
"PL51","PL",2019,1.38,14.1,308.95,"High Investment, Low Fertility",84.77628999999999
"PL82","PL",2019,1.38,22.1,308.95,"High Investment, Low Fertility",84.77628999999999
"PL22","PL",2019,1.38,13,308.95,"High Investment, Low Fertility",84.77628999999999
"HU22","HU",2017,1.46,19.9,182.47,"Low Priority Region",41.91629
"PL43","PL",2019,1.35,14.8,308.95,"High Investment, Low Fertility",84.80628999999999
"PL43","PL",2019,1.35,14.8,308.95,"High Investment, Low Fertility",84.80628999999999
"PL81","PL",2019,1.34,28.5,308.95,"High Investment, Low Fertility",84.81629
"RO41","RO",2018,1.66,47.4,182.48,"High Fert / Low Spend",41.973710000000004
"RO22","RO",2018,1.84,50.3,182.48,"High Fert / Low Spend",42.153710000000004
"PL72","PL",2019,1.26,20.3,308.95,"High Investment, Low Fertility",84.89629
"RO42","RO",2018,1.6,24.2,139.48,"High Fert / Low Spend",84.91371000000001
"RO11","RO",2018,1.69,28.8,182.48,"High Fert / Low Spend",42.003710000000005
"RO42","RO",2018,1.6,24.2,139.34,"High Fert / Low Spend",85.05371
"RO32","RO",2017,1.52,31.8,139.27,"Low Priority Region",85.05628999999999
"RO41","RO",2018,1.66,47.4,139.34,"High Fert / Low Spend",85.11370999999998
"RO31","RO",2018,1.74,45.6,182.48,"High Fert / Low Spend",42.05371
"RO22","RO",2018,1.84,50.3,139.48,"High Fert / Low Spend",85.15371
"BG41","BG",2019,1.53127,22.7,139.14,"High Fert / Low Spend",85.18498000000001
"RO31","RO",2018,1.74,45.6,139.34,"High Fert / Low Spend",85.19371
"RO22","RO",2018,1.84,50.3,182.48,"High Fert / Low Spend",42.153710000000004
"ITH3","IT",2017,1.36698,13,309.42,"High Investment, Low Fertility",85.25931000000003
"ITF3","IT",2017,1.36197,43,309.42,"High Investment, Low Fertility",85.26432000000003
"ITC2","IT",2017,1.35592,17.2,309.42,"High Investment, Low Fertility",85.27037000000003
"IE05","IE",2017,1.84,24,182.4,"High Fert / Low Spend",42.23370999999999
"HR04","HR",2017,1.43,24.8,181.78,"Low Priority Region",42.636289999999995
"ITH1","IT",2017,1.74689,6.3,309.42,"Balanced Investment",85.32060000000003
"ITI4","IT",2017,1.30127,26.7,309.42,"High Investment, Low Fertility",85.32502000000002
"HR04","HR",2018,1.49,22.6,182.03,"Low Priority Region",42.32628999999999
"ITI2","IT",2017,1.25818,16.1,309.42,"High Investment, Low Fertility",85.36811000000002
"ITF4","IT",2017,1.25093,36.7,309.42,"High Investment, Low Fertility",85.37536000000003
"RO21","RO",2018,2.09,49.9,139.48,"High Fert / Low Spend",85.40371
"HU21","HU",2018,1.52,15.2,181.88,"Low Priority Region",42.44629
"BG32","BG",2019,1.77018,37.6,139.14,"High Fert / Low Spend",85.42389
"ITF5","IT",2017,1.20013,31.9,309.42,"High Investment, Low Fertility",85.42616000000002
"BG33","BG",2019,1.83009,33.7,139.14,"High Fert / Low Spend",85.4838
"HU12","HU",2018,1.6,14.3,181.88,"High Fert / Low Spend",42.513709999999996
"ITG2","IT",2017,1.07838,37.2,309.42,"High Investment, Low Fertility",85.54791000000002
"BG31","BG",2019,1.90808,41.6,139.14,"High Fert / Low Spend",85.56179
"FI1D","FI",2019,1.44,17.8,310.02,"High Investment, Low Fertility",85.78629
"HU31","HU",2018,1.84,31.3,181.88,"High Fert / Low Spend",42.75371
"IE06","IE",2019,1.64,17.4,267.42,"Balanced Investment",43.21371000000002
"FI1C","FI",2019,1.3,14.7,310.02,"High Investment, Low Fertility",85.92629
"FI1B","FI",2019,1.28,9.4,310.02,"High Investment, Low Fertility",85.94628999999999
"HU33","HU",2018,1.55,22.2,181.43,"High Fert / Low Spend",42.91370999999999
"ES22","ES",2019,1.38361,12.4,138.33,"Low Priority Region",86.13267999999998
"ITH2","IT",2019,1.42,11.4,138.25,"Low Priority Region",86.17629
"ES23","ES",2019,1.30172,15.8,138.33,"Low Priority Region",86.21456999999998
"HU12","HU",2018,1.6,14.3,181.43,"High Fert / Low Spend",42.963709999999985
"ES24","ES",2019,1.25335,20.5,138.33,"Low Priority Region",86.26293999999999
"ITC4","IT",2019,1.33,16.6,138.25,"Low Priority Region",86.26629
"ITC4","IT",2019,1.33,16.6,138.25,"Low Priority Region",86.26629
"HU31","HU",2018,1.84,31.3,181.43,"High Fert / Low Spend",43.20370999999999
"ITF3","IT",2019,1.31,48.2,138.25,"Low Priority Region",86.28629
"ITF3","IT",2019,1.31,48.2,138.25,"Low Priority Region",86.28629
"ITH5","IT",2019,1.3,14,138.25,"Low Priority Region",86.29629
"ITH1","IT",2018,1.72907,12.7,250.46,"Balanced Investment",26.342780000000015
"HU32","HU",2019,1.73,26,181.05,"High Fert / Low Spend",43.47370999999998
"HU21","HU",2018,1.52,15.2,180.13,"Low Priority Region",44.19629
"ITC1","IT",2019,1.27,16.3,138.25,"Low Priority Region",86.32629
"IE05","IE",2019,1.76,21,267.42,"Balanced Investment",43.333710000000025
"ITH4","IT",2019,1.25,13.5,138.25,"Low Priority Region",86.34629
"ITI1","IT",2019,1.21,18.4,138.25,"Low Priority Region",86.38628999999999
"ITI1","IT",2019,1.21,18.4,138.25,"Low Priority Region",86.38628999999999
"SK03","SK",2018,1.48,18.6,180.98,"Low Priority Region",43.38629
"ITF4","IT",2019,1.2,37,138.25,"Low Priority Region",86.39629
"ITF4","IT",2019,1.2,37,138.25,"Low Priority Region",86.39629
"ITI3","IT",2019,1.19,18.5,138.25,"Low Priority Region",86.40629
"IE04","IE",2019,1.87,26.4,267.42,"Balanced Investment",43.443710000000024
"ITF1","IT",2019,1.17,24.4,138.25,"Low Priority Region",86.42629
"ITF2","IT",2019,1.15,33.7,138.25,"Low Priority Region",86.44628999999999
"ITF2","IT",2019,1.15,33.7,138.25,"Low Priority Region",86.44628999999999
"SK04","SK",2018,1.66,20.6,180.98,"High Fert / Low Spend",43.473710000000004
"HU33","HU",2018,1.55,22.2,180.58,"High Fert / Low Spend",43.76370999999998
"ES64","ES",2019,2.0991,39.7,138.33,"High Fert / Low Spend",86.56280999999998
"ITG2","IT",2019,1,27.4,138.25,"Low Priority Region",86.59629
"SK02","SK",2018,1.35,10.7,180.98,"Low Priority Region",43.516290000000005
"ITC4","IT",2019,1.33,16.6,311.09,"High Investment, Low Fertility",86.96628999999999
"ITF3","IT",2019,1.31,48.2,311.09,"High Investment, Low Fertility",86.98628999999998
"ITH5","IT",2019,1.3,14,311.09,"High Investment, Low Fertility",86.99628999999999
"HU11","HU",2019,1.19,17.1,181.05,"Low Priority Region",43.60628999999998
"SI03","SI",2018,1.64,17.3,137.39,"High Fert / Low Spend",87.04371
"ITI1","IT",2019,1.21,18.4,311.09,"High Investment, Low Fertility",87.08628999999998
"ITI2","IT",2019,1.2,12.3,311.09,"High Investment, Low Fertility",87.09628999999998
"HU21","HU",2018,1.52,15.2,180.58,"Low Priority Region",43.74628999999998
"ITF1","IT",2019,1.17,24.4,311.09,"High Investment, Low Fertility",87.12628999999998
"ITF2","IT",2019,1.15,33.7,311.09,"High Investment, Low Fertility",87.14628999999998
"CZ01","CZ",2017,1.55,9.8,311.81,"Balanced Investment",87.51371
"HU22","HU",2019,1.48,17,180.6,"Low Priority Region",43.76629
"HU33","HU",2017,1.56,26.4,180.45,"High Fert / Low Spend",43.903710000000004
"CZ04","CZ",2017,1.67,16.1,311.81,"Balanced Investment",87.63371000000001
"CZ04","CZ",2017,1.67,16.1,311.81,"Balanced Investment",87.63371000000001
"HU22","HU",2018,1.47,12.4,180.58,"Low Priority Region",43.79628999999998
"CZ05","CZ",2017,1.7,10.1,311.81,"Balanced Investment",87.66371000000001
"CZ06","CZ",2017,1.73,11,311.81,"Balanced Investment",87.69371000000001
"HR04","HR",2017,1.43,24.8,136.69,"Low Priority Region",87.72628999999999
"HU12","HU",2019,1.63,20.2,180.6,"High Fert / Low Spend",43.82371
"CZ02","CZ",2017,1.79,11,311.81,"Balanced Investment",87.75371000000001
"ES23","ES",2017,1.33934,13.9,311.9,"High Investment, Low Fertility",87.76694999999998
"ES21","ES",2017,1.3205,15,311.9,"High Investment, Low Fertility",87.78578999999998
"HU32","HU",2018,1.69,27.1,180.58,"High Fert / Low Spend",43.90370999999998
"ES43","ES",2017,1.28931,44.9,311.9,"High Investment, Low Fertility",87.81697999999999
"HR04","HR",2019,1.49,21.6,136.52,"Low Priority Region",87.83628999999998
"ES53","ES",2017,1.24946,25.2,311.9,"High Investment, Low Fertility",87.85682999999999
"HU32","HU",2019,1.73,26,180.6,"High Fert / Low Spend",43.92371
"HU32","HU",2018,1.69,27.1,180.41,"High Fert / Low Spend",44.07371
"ES13","ES",2017,1.16135,20.5,311.9,"High Investment, Low Fertility",87.94493999999999
"ES41","ES",2017,1.14147,19.2,311.9,"High Investment, Low Fertility",87.96481999999999
"HU23","HU",2018,1.57,26.7,180.41,"High Fert / Low Spend",43.953709999999994
"EL30","EL",2019,1.35,24.5,136.44,"Low Priority Region",88.05628999999999
"EL65","EL",2019,1.32,35.1,136.44,"Low Priority Region",88.08628999999999
"EL51","EL",2019,1.3,34,136.44,"Low Priority Region",88.10629
"HU32","HU",2017,1.7,28.4,180.45,"High Fert / Low Spend",44.043710000000004
"EL53","EL",2019,1.26,33.6,136.44,"Low Priority Region",88.14629
"SI04","SI",2019,1.55,10.8,136.15,"High Fert / Low Spend",88.19370999999998
"BG42","BG",2019,1.87979,38.1,136.42,"High Fert / Low Spend",88.2535
"HU11","HU",2018,1.21,16.5,180.58,"Low Priority Region",44.05628999999998
"SI03","SI",2019,1.68,16.3,136.15,"High Fert / Low Spend",88.32370999999999
"ITH2","IT",2019,1.42,11.4,136.04,"Low Priority Region",88.38629
"ITH1","IT",2019,1.71,10.4,136.04,"High Fert / Low Spend",88.46371
"ES53","ES",2019,1.17358,16.5,250.41,"High Investment, Low Fertility",26.44271
"NL41","NL",2018,1.58,13.4,180.09,"High Fert / Low Spend",44.28370999999999
"HU21","HU",2017,1.55,20.1,179.47,"High Fert / Low Spend",44.873709999999996
"ITC2","IT",2019,1.31,8.6,136.04,"Low Priority Region",88.49629
"HU31","HU",2018,1.84,31.3,180.41,"High Fert / Low Spend",44.22371
"ITH3","IT",2019,1.29,10.3,136.04,"Low Priority Region",88.51629
"ITC1","IT",2019,1.27,16.3,136.04,"Low Priority Region",88.53629000000001
"ITF6","IT",2019,1.26,34.8,136.04,"Low Priority Region",88.54629
"HU22","HU",2018,1.47,12.4,180.13,"Low Priority Region",44.246289999999995
"ITI1","IT",2019,1.21,18.4,136.04,"Low Priority Region",88.59629
"ITI1","IT",2019,1.21,18.4,136.04,"Low Priority Region",88.59629
"ITI2","IT",2019,1.2,12.3,136.04,"Low Priority Region",88.60629
"NL32","NL",2018,1.49,17.2,180.09,"Low Priority Region",44.26628999999999
"ITI3","IT",2019,1.19,18.5,136.04,"Low Priority Region",88.61629
"ITI4","IT",2019,1.18,24.1,136.04,"Low Priority Region",88.62629
"ITF1","IT",2019,1.17,24.4,136.04,"Low Priority Region",88.63629
"NL42","NL",2018,1.45,16.9,180.09,"Low Priority Region",44.30628999999999
"HU33","HU",2018,1.55,22.2,179.96,"High Fert / Low Spend",44.38370999999999
"ES62","ES",2018,1.52629,33.2,135.53,"High Fert / Low Spend",88.78999999999999
"ITG2","IT",2019,1,27.4,136.04,"Low Priority Region",88.80629
"HR04","HR",2019,1.49,21.6,180.03,"Low Priority Region",44.32628999999999
"ES51","ES",2018,1.30934,18.9,135.53,"Low Priority Region",89.00694999999999
"ES21","ES",2018,1.27534,12.2,135.53,"Low Priority Region",89.04095
"ITH2","IT",2018,1.4505,18.8,135.35,"Low Priority Region",89.04579
"HU32","HU",2018,1.69,27.1,180.13,"High Fert / Low Spend",44.35371
"ES52","ES",2018,1.23939,30.7,135.53,"Low Priority Region",89.0769
"ES43","ES",2018,1.21358,43.7,135.53,"Low Priority Region",89.10270999999999
"ITC2","IT",2018,1.38873,13.1,135.35,"Low Priority Region",89.10755999999999
"NL11","NL",2018,1.39,22.1,180.09,"Low Priority Region",44.36628999999999
"ITC4","IT",2018,1.36258,14.9,135.35,"Low Priority Region",89.13371
"ITH5","IT",2018,1.348,14,135.35,"Low Priority Region",89.14829
"ITH3","IT",2018,1.34451,13.2,135.35,"Low Priority Region",89.15178
"NL13","NL",2018,1.68,14.8,180.09,"High Fert / Low Spend",44.38370999999999
"HU31","HU",2018,1.84,31.3,180.13,"High Fert / Low Spend",44.50371
"ITC1","IT",2018,1.29684,18.4,135.35,"Low Priority Region",89.19945
"ES13","ES",2018,1.11039,24.4,135.53,"Low Priority Region",89.20589999999999
"HU23","HU",2018,1.57,26.7,179.96,"High Fert / Low Spend",44.40370999999998
"ITH4","IT",2018,1.28507,12.2,135.35,"Low Priority Region",89.21122
"ITI1","IT",2018,1.2608,17.9,135.35,"Low Priority Region",89.23549
"ITI4","IT",2018,1.25317,25.7,135.35,"Low Priority Region",89.24312
"NL34","NL",2018,1.72,14,180.09,"High Fert / Low Spend",44.42370999999999
"ITF4","IT",2018,1.23363,35.8,135.35,"Low Priority Region",89.26266
"ITI3","IT",2018,1.22736,16.1,135.35,"Low Priority Region",89.26893
"ITI2","IT",2018,1.22402,17,135.35,"Low Priority Region",89.27226999999999
"NL23","NL",2018,1.78,15.6,180.09,"High Fert / Low Spend",44.48370999999999
"ITF1","IT",2018,1.2048,25.8,135.35,"Low Priority Region",89.29149
"ITF5","IT",2018,1.1411,35.2,135.35,"Low Priority Region",89.35519
"ITF2","IT",2018,1.10607,25,135.35,"Low Priority Region",89.39022
"HU11","HU",2018,1.21,16.5,180.13,"Low Priority Region",44.50629
"HU21","HU",2017,1.55,20.1,179.47,"High Fert / Low Spend",44.873709999999996
"NL41","NL",2019,1.55,13.8,314.34,"Balanced Investment",90.04370999999998
"NL32","NL",2019,1.46,17,314.34,"High Investment, Low Fertility",90.08628999999998
"HU33","HU",2019,1.55,16.5,179.63,"High Fert / Low Spend",44.71371
"NL31","NL",2019,1.62,15.1,314.34,"Balanced Investment",90.11370999999998
"NL42","NL",2019,1.43,15.5,314.34,"High Investment, Low Fertility",90.11628999999998
"NL11","NL",2019,1.41,23.9,314.34,"High Investment, Low Fertility",90.13628999999999
"IE06","IE",2017,1.7,20.2,268.91,"Balanced Investment",44.76371000000003
"NL21","NL",2019,1.68,15.6,314.34,"Balanced Investment",90.17370999999999
"ES62","ES",2019,1.49064,33.4,134.14,"Low Priority Region",90.21565000000001
"NL34","NL",2019,1.73,14.8,314.34,"Balanced Investment",90.22370999999998
"HU12","HU",2019,1.63,20.2,179.63,"High Fert / Low Spend",44.79371
"ES63","ES",2019,1.48046,49,134.14,"Low Priority Region",90.22583
"NL12","NL",2019,1.75,16.5,314.34,"Balanced Investment",90.24370999999998
"NL23","NL",2019,1.77,16.2,314.34,"Balanced Investment",90.26370999999997
"IE06","IE",2017,1.7,20.2,251.14,"Balanced Investment",26.993709999999993
"IE04","IE",2018,1.89,25.2,268.97,"Balanced Investment",45.01371000000003
"LT01","LT",2017,1.49406,23.1,178.53,"Low Priority Region",45.82222999999999
"ES61","ES",2019,1.30586,39.3,134.14,"Low Priority Region",90.40043
"IE05","IE",2017,1.84,24,268.91,"Balanced Investment",44.90371000000003
"PL51","PL",2019,1.38,14.1,314.6,"High Investment, Low Fertility",90.42629000000002
"ES51","ES",2019,1.26909,18.8,134.14,"Low Priority Region",90.4372
"ES24","ES",2019,1.25335,20.5,134.14,"Low Priority Region",90.45294000000001
"IE04","IE",2017,1.88,25.9,268.91,"Balanced Investment",44.94371000000003
"ES42","ES",2019,1.24287,31,134.14,"Low Priority Region",90.46342000000001
"ES52","ES",2019,1.23134,28.2,134.14,"Low Priority Region",90.47495
"PL42","PL",2019,1.32,16.5,314.6,"High Investment, Low Fertility",90.48629000000003
"HU31","HU",2019,1.83,26.7,179.63,"High Fert / Low Spend",44.99371
"PL72","PL",2019,1.26,20.3,314.6,"High Investment, Low Fertility",90.54629000000003
"ES13","ES",2019,1.06379,19.8,134.14,"Low Priority Region",90.64250000000001
"ITH2","IT",2017,1.4863,17.1,315,"High Investment, Low Fertility",90.71999000000001
"HU32","HU",2017,1.7,28.4,179.47,"High Fert / Low Spend",45.023709999999994
"HU12","HU",2019,1.63,20.2,179.18,"High Fert / Low Spend",45.243709999999986
"ITC4","IT",2017,1.40535,16.9,315,"High Investment, Low Fertility",90.80094000000001
"ITH3","IT",2017,1.36698,13,315,"High Investment, Low Fertility",90.83931000000001
"HU31","HU",2017,1.82,36.4,179.47,"High Fert / Low Spend",45.14370999999999
"ITC1","IT",2017,1.34908,18.4,315,"High Investment, Low Fertility",90.85721000000001
"ITC4","IT",2017,1.40535,16.9,133.56,"Low Priority Region",90.88094
"ITH1","IT",2017,1.74689,6.3,315,"Balanced Investment",90.90060000000001
"HU22","HU",2019,1.48,17,179.18,"Low Priority Region",45.186289999999985
"ITG1","IT",2017,1.37181,48.9,133.56,"Low Priority Region",90.91448
"ITC3","IT",2017,1.29024,19,315,"High Investment, Low Fertility",90.91605000000001
"ITH3","IT",2017,1.36698,13,133.56,"Low Priority Region",90.91931
"HU33","HU",2017,1.56,26.4,179.15,"High Fert / Low Spend",45.20370999999999
"ITH5","IT",2017,1.36091,15,133.56,"Low Priority Region",90.92537999999999
"ITC2","IT",2017,1.35592,17.2,133.56,"Low Priority Region",90.93037
"ITC1","IT",2017,1.34908,18.4,133.56,"Low Priority Region",90.93721
"FI1C","FI",2017,1.47,16.1,179.1,"Low Priority Region",45.276289999999996
"NO01","NO",2018,1.5,16.4,178.94,"Low Priority Region",45.40629
"ITH4","IT",2017,1.31574,13.1,133.56,"Low Priority Region",90.97054999999999
"ITH1","IT",2017,1.74689,6.3,133.56,"High Fert / Low Spend",90.9806
"HU32","HU",2017,1.7,28.4,179.15,"High Fert / Low Spend",45.34370999999999
"ITI4","IT",2017,1.30127,26.7,133.56,"Low Priority Region",90.98501999999999
"ITI1","IT",2017,1.29473,17.4,133.56,"Low Priority Region",90.99155999999999
"ITC3","IT",2017,1.29024,19,133.56,"Low Priority Region",90.99605
"NO06","NO",2018,1.53,15,178.94,"High Fert / Low Spend",45.383709999999994
"ITI3","IT",2017,1.26097,20.9,133.56,"Low Priority Region",91.02532
"ITI2","IT",2017,1.25818,16.1,133.56,"Low Priority Region",91.02810999999998
"ITF1","IT",2017,1.25286,28.2,133.56,"Low Priority Region",91.03343
"NO02","NO",2018,1.51,15.1,178.94,"Low Priority Region",45.39628999999999
"ITF2","IT",2017,1.20144,35,133.56,"Low Priority Region",91.08484999999999
"ITF5","IT",2017,1.20013,31.9,133.56,"Low Priority Region",91.08615999999999
"ITG2","IT",2017,1.07838,37.2,133.56,"Low Priority Region",91.20790999999998
"NO03","NO",2018,1.56,13.6,178.94,"High Fert / Low Spend",45.413709999999995
"HU32","HU",2017,1.7,28.4,178.7,"High Fert / Low Spend",45.793710000000004
"BG32","BG",2017,1.71635,43,315.5,"Balanced Investment",91.37006000000001
"RO32","RO",2019,1.55,21.7,132.97,"High Fert / Low Spend",91.37370999999999
"NO05","NO",2018,1.64,14.7,178.94,"High Fert / Low Spend",45.49370999999999
"BG42","BG",2017,1.79732,45,315.5,"Balanced Investment",91.45103
"RO41","RO",2019,1.64,42.2,132.97,"High Fert / Low Spend",91.46370999999999
"RO31","RO",2018,1.74,45.6,133.03,"High Fert / Low Spend",91.50371
"HU23","HU",2017,1.55,30.4,178.7,"High Fert / Low Spend",45.643710000000006
"RO31","RO",2019,1.76,43.1,132.97,"High Fert / Low Spend",91.58371
"RO22","RO",2018,1.84,50.3,133.03,"High Fert / Low Spend",91.60370999999999
"RO22","RO",2019,1.84,49.5,132.97,"High Fert / Low Spend",91.66371
"HR04","HR",2019,1.49,21.6,178.63,"Low Priority Region",45.72629
"BG34","BG",2017,2.10908,39.9,315.5,"Balanced Investment",91.76279000000001
"ES62","ES",2017,1.54678,35.6,132.45,"High Fert / Low Spend",91.89049
"ES22","ES",2017,1.4463,13.2,132.45,"Low Priority Region",91.94999
"EL52","EL",2018,1.28,29.3,197.25,"Low Priority Region",27.31628999999999
"IE05","IE",2018,1.85,22.6,178.44,"High Fert / Low Spend",46.203709999999994
"NO05","NO",2018,1.64,14.7,177.41,"High Fert / Low Spend",47.023709999999994
"ITF5","IT",2018,1.1411,35.2,273.85,"High Investment, Low Fertility",49.91519000000003
"LT02","LT",2017,1.59857,32.4,178.53,"High Fert / Low Spend",45.86227999999999
"ES42","ES",2017,1.30795,34.9,132.45,"Low Priority Region",92.08834
"ES43","ES",2017,1.28931,44.9,132.45,"Low Priority Region",92.10698000000001
"ES63","ES",2017,1.79543,46.9,132.45,"High Fert / Low Spend",92.13914
"IE06","IE",2018,1.66,17.9,178.44,"High Fert / Low Spend",46.013709999999996
"ES13","ES",2017,1.16135,20.5,132.45,"Low Priority Region",92.23494000000001
"ES41","ES",2017,1.14147,19.2,132.45,"Low Priority Region",92.25482000000001
"EL43","EL",2019,1.54,30.5,132.05,"High Fert / Low Spend",92.28370999999999
"CZ07","CZ",2017,1.67,11.2,270.35,"Balanced Investment",46.17371000000003
"SE23","SE",2019,1.71,18.7,316.45,"Balanced Investment",92.31371
"SE22","SE",2019,1.72,24.7,316.45,"Balanced Investment",92.32370999999999
"SE22","SE",2019,1.72,24.7,316.45,"Balanced Investment",92.32370999999999
"CZ03","CZ",2017,1.7,9.3,270.35,"Balanced Investment",46.20371000000003
"EL30","EL",2019,1.35,24.5,177.9,"Low Priority Region",46.59628999999999
"SE31","SE",2019,1.78,18.2,316.45,"Balanced Investment",92.38371
"BG41","BG",2019,1.53127,22.7,131.91,"High Fert / Low Spend",92.41498
"BG33","BG",2018,1.73954,34.5,178.23,"High Fert / Low Spend",46.303250000000006
"SE21","SE",2019,1.83,16.3,316.45,"Balanced Investment",92.43370999999999
"EL65","EL",2019,1.32,35.1,132.05,"Low Priority Region",92.47628999999998
"EL51","EL",2019,1.3,34,132.05,"Low Priority Region",92.49628999999999
"EL62","EL",2019,1.55,22.3,177.9,"High Fert / Low Spend",46.44370999999999
"EL53","EL",2019,1.26,33.6,132.05,"Low Priority Region",92.53628999999998
"EL54","EL",2019,1.24,26.8,132.05,"Low Priority Region",92.55628999999998
"ES64","ES",2017,2.2558,30.2,132.45,"High Fert / Low Spend",92.59951000000001
"EL43","EL",2018,1.52,34.8,177.75,"Low Priority Region",46.57628999999999
"EL64","EL",2019,1.12,28.3,132.05,"Low Priority Region",92.67628999999998
"BG33","BG",2019,1.83009,33.7,131.91,"High Fert / Low Spend",92.71379999999999
"BG42","BG",2019,1.87979,38.1,131.91,"High Fert / Low Spend",92.7635
"EL63","EL",2019,1.32,39.8,177.9,"Low Priority Region",46.62628999999999
"EL52","EL",2018,1.28,29.3,177.75,"Low Priority Region",46.816289999999995
"RO41","RO",2017,1.63,52.5,131.53,"High Fert / Low Spend",92.89371
"RO31","RO",2017,1.74,50.2,131.53,"High Fert / Low Spend",93.00371
"EL61","EL",2019,1.28,28.3,177.9,"Low Priority Region",46.66628999999999
"SI04","SI",2019,1.55,10.8,131.25,"High Fert / Low Spend",93.09370999999999
"RO12","RO",2017,1.88,29.7,131.53,"High Fert / Low Spend",93.14371
"SI03","SI",2019,1.68,16.3,131.25,"High Fert / Low Spend",93.22371
"EL54","EL",2019,1.24,26.8,177.9,"Low Priority Region",46.70628999999999
"ITC4","IT",2017,1.40535,16.9,131.08,"Low Priority Region",93.36093999999999
"ITG1","IT",2017,1.37181,48.9,131.08,"Low Priority Region",93.39447999999999
"ITH3","IT",2017,1.36698,13,131.08,"Low Priority Region",93.39930999999999
"EL51","EL",2018,1.32,33.5,177.75,"Low Priority Region",46.776289999999996
"ITH5","IT",2017,1.36091,15,131.08,"Low Priority Region",93.40537999999998
"ITC2","IT",2017,1.35592,17.2,131.08,"Low Priority Region",93.41036999999999
"ITC1","IT",2017,1.34908,18.4,131.08,"Low Priority Region",93.41720999999998
"EL53","EL",2018,1.26,36.5,177.75,"Low Priority Region",46.83628999999999
"BG41","BG",2018,1.46803,22.8,177.37,"Low Priority Region",47.008259999999986
"ITF6","IT",2017,1.30506,43.9,131.08,"Low Priority Region",93.46122999999999
"ITI4","IT",2017,1.30127,26.7,131.08,"Low Priority Region",93.46501999999998
"NO06","NO",2018,1.53,15,177.41,"High Fert / Low Spend",46.913709999999995
"ITC3","IT",2017,1.29024,19,131.08,"Low Priority Region",93.47604999999999
"ITI3","IT",2017,1.26097,20.9,131.08,"Low Priority Region",93.50531999999998
"ITI2","IT",2017,1.25818,16.1,131.08,"Low Priority Region",93.50810999999997
"NO02","NO",2018,1.51,15.1,177.41,"Low Priority Region",46.926289999999995
"ITF4","IT",2017,1.25093,36.7,131.08,"Low Priority Region",93.51535999999999
"ITF2","IT",2017,1.20144,35,131.08,"Low Priority Region",93.56484999999998
"ITF5","IT",2017,1.20013,31.9,131.08,"Low Priority Region",93.56615999999998
"NO03","NO",2018,1.56,13.6,177.41,"High Fert / Low Spend",46.943709999999996
"PL92","PL",2019,1.51,21.1,318.03,"High Investment, Low Fertility",93.72628999999998
"PL92","PL",2019,1.51,21.1,318.03,"High Investment, Low Fertility",93.72628999999998
