Country Or Territory,NUTS Code,NUTS Name,Degree Of Urbanisation,Year,Air Pollutant,Data Aggregation Id,Scenario,Category,Outcome,Health Indicator,Sex,Description Of Age Group,Affected  Population,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Value,Value - lower CI,Value - upper CI,Value for 100k Of Affected Population,Value for 100k Of Affected Population - lower CI,Value for 100k Of Affected Population - upper CI
"France","FRF2","Champagne-Ardenne","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","897661","8788.3","6.0","11.8","70","35","139","7","3","15"
"France","FRF2","Champagne-Ardenne","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","897661","8788.3","7.7","9.4","388","295","433","43","32","48"
"France","FRF2","Champagne-Ardenne","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1388409","8788.3","5559.3","5317.0","73","58","88","5","4","6"
"France","FRF2","Champagne-Ardenne","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","892592","8788.3","9.2","10.7","499","380","557","55","42","62"
"France","FRF2","Champagne-Ardenne","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","892592","8788.3","9.2","10.7","5662","4310","6323","634","482","708"
"France","FRF1","Alsace","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1232217","4671.8","11.8","18.6","3113","1573","6099","252","127","495"
"France","FRF1","Alsace","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1921017","4671.8","5940.0","5448.6","1239","981","1497","64","51","77"
"France","FRJ2","Midi-Pyrénées","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1913843","35124.1","6.0","11.8","154","77","302","8","4","15"
"France","FRJ2","Midi-Pyrénées","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1913843","35124.1","6.0","11.8","1732","874","3404","90","45","177"
"France","FRJ2","Midi-Pyrénées","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1925816","35124.1","5.2","10.6","115","58","226","5","3","11"
"France","FRJ2","Midi-Pyrénées","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1936750","35124.1","5.1","11.1","1547","780","3045","79","40","157"
"Finland","FI1C","Etelä-Suomi","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1188904","20077.5","2708.9","2438.8","31","24","37","2","2","3"
"Finland","FI1C","Etelä-Suomi","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1188904","20077.5","2708.9","2438.8","336","265","406","28","22","34"
"Finland","FI1D","Pohjois- ja Itä-Suomi","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","886724","43272.7","2.9","3.7","2","1","2","0","0","0"
"France","FRC2","Franche-Comté","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","777327","8570.8","7.6","9.1","3551","2700","3968","456","347","510"
"France","FRC2","Franche-Comté","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","782194","8570.8","7.7","9.1","313","238","350","40","30","44"
"France","FRD1","Basse-Normandie","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","970808","16250.6","5.6","9.4","440","221","866","45","22","89"
"France","FRD1","Basse-Normandie","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1513487","16250.6","4196.3","3601.5","646","511","781","42","33","51"
"France","FRB0","Centre-Val de Loire","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1704790","27500.1","4.9","9.6","751","378","1481","44","22","86"
"France","FRB0","Centre-Val de Loire","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1704790","27500.1","8.3","9.2","713","542","797","41","31","46"
"France","FRE2","Picardie","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1273391","10464.0","9.6","14.5","1768","892","3476","138","70","273"
"France","FRE2","Picardie","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1997633","10464.0","4075.6","3852.3","76","60","92","3","3","4"
"France","FRE2","Picardie","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1997633","10464.0","4075.6","3852.3","912","722","1102","45","36","55"
"France","FRF2","Champagne-Ardenne","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","887042","8788.3","9.0","10.7","501","381","560","56","43","63"
"France","FRF2","Champagne-Ardenne","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","887042","8788.3","9.0","10.7","5636","4291","6293","635","483","709"
"France","FRF3","Lorraine","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","2429571","10704.7","6349.4","5668.1","137","108","165","5","4","6"
"France","FRH0","Bretagne","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","2076920","26127.3","4.6","8.5","736","371","1451","35","17","69"
"France","FRH0","Bretagne","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","2101780","26127.3","7.3","8.4","7903","6004","8835","376","285","420"
"France","FRK2","Rhône-Alpes","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","4183864","29505.5","7.3","9.1","19118","14537","21362","456","347","510"
"France","FRH0","Bretagne","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","2089914","26127.3","8.1","9.0","833","633","931","39","30","44"
"France","FRI3","Poitou-Charentes","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1174295","20292.0","4.8","8.1","286","144","565","24","12","48"
"France","FRF3","Lorraine","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1552231","10704.7","8.8","14.6","200","101","394","12","6","25"
"France","FRF3","Lorraine","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1552231","10704.7","8.7","10.1","8866","6746","9903","571","434","638"
"France","FRF2","Champagne-Ardenne","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","887042","8788.3","7.7","13.1","89","45","176","10","5","19"
"France","FRF2","Champagne-Ardenne","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1383928","8788.3","3425.5","3262.5","533","422","644","38","30","46"
"France","FRF2","Champagne-Ardenne","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","897661","8788.3","7.7","9.4","4369","3322","4881","486","370","543"
"France","FRF2","Champagne-Ardenne","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1383928","8788.3","3425.5","3262.5","44","35","54","3","2","3"
"France","FRF2","Champagne-Ardenne","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","892592","8788.3","7.1","12.8","84","42","166","9","4","18"
"France","FRI3","Poitou-Charentes","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1166997","20292.0","8.8","9.4","505","384","564","43","32","48"
"France","FRI3","Poitou-Charentes","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1174295","20292.0","4.8","8.1","25","12","49","2","1","4"
"France","FRI3","Poitou-Charentes","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1826593","20292.0","4987.7","4651.3","1012","801","1223","55","43","66"
"France","FRI2","Limousin","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","493422","13877.6","4.6","9.6","316","159","622","64","32","126"
"France","FRI2","Limousin","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","493422","13877.6","6.8","7.9","142","108","159","28","21","32"
"France","FRI3","Poitou-Charentes","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1174295","20292.0","8.2","8.9","5167","3927","5775","440","334","491"
"France","FRI3","Poitou-Charentes","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1180964","20292.0","4.5","7.9","238","120","471","20","10","39"
"Germany","DE11","Stuttgart","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","2815896","6663.3","14.2","22.1","10625","5375","20763","377","190","737"
"Germany","DE11","Stuttgart","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","4055797","6663.3","5916.5","5280.3","2911","2304","3517","71","56","86"
"France","FRI3","Poitou-Charentes","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1820702","20292.0","3616.5","3439.6","62","49","75","3","2","4"
"France","FRI3","Poitou-Charentes","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1830724","20292.0","4727.6","4569.0","991","784","1197","54","42","65"
"France","FRJ1","Languedoc-Roussillon","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1752023","14879.8","6.9","8.6","620","471","693","35","26","39"
"France","FRJ1","Languedoc-Roussillon","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","2731397","14879.8","6854.2","6569.2","178","141","216","6","5","7"
"France","FRF3","Lorraine","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1570812","10704.7","7.7","9.0","7074","5378","7905","450","342","503"
"France","FRG0","Pays-de-la-Loire","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","3680416","29500.2","3382.6","3329.2","1447","1145","1749","39","31","47"
"France","FRH0","Bretagne","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","2089914","26127.3","4.3","7.9","529","266","1043","25","12","49"
"France","FRH0","Bretagne","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","3250820","26127.3","4749.6","4252.0","1647","1303","1990","50","40","61"
"France","FRH0","Bretagne","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","2101780","26127.3","4.0","7.5","418","210","824","19","10","39"
"France","FRI2","Limousin","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","769817","13877.6","4491.1","3825.9","29","23","35","3","3","4"
"France","FRI2","Limousin","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","496511","13877.6","3.8","8.7","21","10","42","4","2","8"
"France","FRI2","Limousin","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","499327","13877.6","3.7","8.5","216","108","426","43","21","85"
"France","FRI3","Poitou-Charentes","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1180964","20292.0","4.5","7.9","21","10","41","1","0","3"
"France","FRJ1","Languedoc-Roussillon","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","2716441","14879.8","6036.4","5684.5","1821","1441","2200","67","53","81"
"France","FRJ1","Languedoc-Roussillon","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","2731397","14879.8","6854.2","6569.2","2123","1681","2565","77","61","93"
"France","FRL0","Provence-Alpes-Côte d_Azur","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","3215720","15203.9","8.1","11.3","22577","17203","25202","702","534","783"
"France","FRF3","Lorraine","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1552231","10704.7","8.8","14.6","2255","1138","4431","145","73","285"
"France","FRI2","Limousin","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","772313","13877.6","6074.9","5403.1","496","393","600","64","50","77"
"France","FRI2","Limousin","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","774053","13877.6","5764.7","5154.3","472","374","571","61","48","73"
"France","FRL0","Provence-Alpes-Côte d_Azur","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","3215720","15203.9","8.1","11.3","1991","1517","2223","61","47","69"
"France","FRL0","Provence-Alpes-Côte d_Azur","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","3233977","15203.9","7.6","18.7","8430","4262","16490","260","131","509"
"France","FRL0","Provence-Alpes-Côte d_Azur","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","3233977","15203.9","7.9","10.4","19460","14814","21731","601","458","671"
"France","FRK1","Auvergne","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","895064","19481.0","5.0","11.4","831","419","1634","92","46","182"
"France","FRK1","Auvergne","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","905778","19481.0","5.6","6.9","1994","1513","2230","220","167","246"
"France","FRH0","Bretagne","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","2076920","26127.3","4.6","8.5","65","33","129","3","1","6"
"France","FRH0","Bretagne","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","3240329","26127.3","3025.2","2833.2","1084","858","1310","33","26","40"
"France","FRH0","Bretagne","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","3250820","26127.3","4749.6","4252.0","137","109","166","4","3","5"
"France","FRF2","Champagne-Ardenne","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1391549","8788.3","4778.2","4425.3","729","577","881","52","41","63"
"France","FRI1","Aquitaine","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","2150265","30814.0","4.9","10.1","117","59","230","5","2","10"
"France","FRI1","Aquitaine","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","3344695","30814.0","5230.6","4646.4","1851","1465","2237","55","43","66"
"France","FRI1","Aquitaine","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","2162473","30814.0","4.9","10.0","1208","609","2380","55","28","110"
"France","FRI1","Aquitaine","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","3352253","30814.0","5208.9","4857.3","162","128","196","4","3","5"
"France","FRH0","Bretagne","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","2089914","26127.3","4.3","7.9","46","23","92","2","1","4"
"France","FRH0","Bretagne","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","3258167","26127.3","3967.4","3540.9","1368","1082","1653","41","33","50"
"France","FRG0","Pays-de-la-Loire","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","2387235","29500.2","4.7","8.4","52","26","104","2","1","4"
"France","FRG0","Pays-de-la-Loire","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","3700677","29500.2","4385.7","4256.5","157","124","190","4","3","5"
"France","FRG0","Pays-de-la-Loire","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","2387235","29500.2","7.8","8.8","898","682","1003","37","28","42"
"Germany","DE13","Freiburg","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","2202352","6201.9","6721.0","5799.0","161","128","195","7","5","8"
"Germany","DE13","Freiburg","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","2202352","6201.9","6721.0","5799.0","1735","1374","2097","78","62","95"
"France","FRJ1","Languedoc-Roussillon","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1761971","14879.8","6.5","7.9","515","391","576","29","22","32"
"Germany","DE12","Karlsruhe","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1909472","4003.3","9.7","11.2","14142","10771","15790","740","564","826"
"Germany","DE12","Karlsruhe","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1928281","4003.3","13.3","19.7","5905","2984","11562","306","154","599"
"Germany","DE12","Karlsruhe","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","2763681","4003.3","5753.8","5140.9","1931","1529","2334","69","55","84"
"Germany","DE13","Freiburg","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","2196340","6201.9","8398.0","7418.9","210","166","254","9","7","11"
"France","FRG0","Pays-de-la-Loire","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","2358998","29500.2","5.4","9.2","955","481","1881","40","20","79"
"France","FRG0","Pays-de-la-Loire","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","3692334","29500.2","4932.1","4639.7","170","135","206","4","3","5"
"France","FRF3","Lorraine","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","2421729","10704.7","4043.8","3677.0","88","70","107","3","2","4"
"France","FRF3","Lorraine","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1561943","10704.7","8.9","15.2","224","113","441","14","7","28"
"France","FRF3","Lorraine","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1570812","10704.7","7.6","13.8","179","90","353","11","5","22"
"France","FRF3","Lorraine","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","2435064","10704.7","5304.0","5018.1","121","96","147","5","3","6"
"France","FRK1","Auvergne","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1396444","19481.0","5096.9","4417.0","727","576","879","52","41","62"
"France","FRK1","Auvergne","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1404131","19481.0","6596.0","6105.7","85","67","103","6","4","7"
"France","FRK2","Rhône-Alpes","All Areas (incl.unclassified)","2019","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","4183864","29505.5","7.4","16.0","7925","4004","15523","189","95","371"
"France","FRK2","Rhône-Alpes","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","4183864","29505.5","7.3","9.1","1698","1291","1898","40","30","45"
"France","FRI1","Aquitaine","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","3333895","30814.0","3997.7","3717.9","1463","1158","1768","43","34","53"
"France","FRI1","Aquitaine","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","2150265","30814.0","4.9","10.1","1329","670","2614","61","31","121"
"France","FRI1","Aquitaine","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","2162473","30814.0","7.2","8.2","7643","5806","8544","353","268","395"
"France","FRJ2","Midi-Pyrénées","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1925816","35124.1","5.2","10.6","1307","658","2572","67","34","133"
"France","FRK2","Rhône-Alpes","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","6450287","29505.5","6048.7","5287.7","4023","3185","4861","62","49","75"
"Germany","DE21","Oberbayern","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","4454920","11393.2","5163.1","4365.6","246","195","297","5","4","6"
"France","FRI3","Poitou-Charentes","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1166997","20292.0","5.8","9.3","444","223","876","38","19","75"
"France","FRI3","Poitou-Charentes","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1166997","20292.0","8.8","9.4","5679","4318","6347","486","370","543"
