STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,spscheme,Category of schemes,spdep,Detailed benefit expenditure type,spdepm,Means testing,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),EL,Greece,2018,,1147.46,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),EL,Greece,2019,,1101.99,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),ES,Spain,2017,,574.23,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),ES,Spain,2018,,571.53,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),ES,Spain,2019,,619.1,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),EU27_2020,European Union - 27 countries (from 2020),2017,,26992.71,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),EU27_2020,European Union - 27 countries (from 2020),2018,,26496.96,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),EU27_2020,European Union - 27 countries (from 2020),2019,,24540.05,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),FI,Finland,2017,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),FI,Finland,2018,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),FI,Finland,2019,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),FR,France,2017,,7270.24,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),FR,France,2018,,7265.52,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),FR,France,2019,,7013.02,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),HR,Croatia,2017,,169.49,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),HR,Croatia,2018,,159.26,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),HR,Croatia,2019,,166.82,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),HU,Hungary,2017,,17,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),HU,Hungary,2018,,14.26,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),HU,Hungary,2019,,13.8,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),IE,Ireland,2017,,880.51,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),IE,Ireland,2018,,873.98,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),IE,Ireland,2019,,863.38,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),IS,Iceland,2017,,49.99,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),IS,Iceland,2018,,52.95,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),IS,Iceland,2019,,59.11,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),IT,Italy,2017,,8014.04,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),IT,Italy,2018,,7677.94,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),IT,Italy,2019,,7663.27,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),LT,Lithuania,2017,,24.44,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),LT,Lithuania,2018,,3.06,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),LT,Lithuania,2019,,2.35,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),LU,Luxembourg,2017,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),LU,Luxembourg,2018,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),LU,Luxembourg,2019,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),LV,Latvia,2017,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),LV,Latvia,2018,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),LV,Latvia,2019,,0,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),ME,Montenegro,2017,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),ME,Montenegro,2018,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),ME,Montenegro,2019,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),MK,North Macedonia,2017,,1.91,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),MT,Malta,2017,,23.18,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),MT,Malta,2018,,22.44,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),MT,Malta,2019,,21.22,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),NL,Netherlands,2017,,1743.78,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),NL,Netherlands,2018,,1718.51,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),NL,Netherlands,2019,,1810.26,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),NO,Norway,2017,,593.11,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),NO,Norway,2018,,586.93,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),NO,Norway,2019,,581.9,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),PL,Poland,2017,,3284.85,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),PL,Poland,2018,,2930.85,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),PL,Poland,2019,,1189.19,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),PT,Portugal,2017,,776.14,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),PT,Portugal,2018,,828.62,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),PT,Portugal,2019,,892.1,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),RO,Romania,2017,,115.14,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),RO,Romania,2018,,97.77,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),RO,Romania,2019,,82.01,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),RS,Serbia,2017,,97.23,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),RS,Serbia,2018,,95.68,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),RS,Serbia,2019,,95.47,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),SE,Sweden,2017,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),SE,Sweden,2018,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),SE,Sweden,2019,,0,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),SI,Slovenia,2017,,222.19,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),SI,Slovenia,2018,,228.24,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),SI,Slovenia,2019,,227.19,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),SK,Slovakia,2017,,16.52,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),SK,Slovakia,2018,,14.26,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),SK,Slovakia,2019,,14.43,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),TR,Türkiye,2017,,1492.93,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),TR,Türkiye,2018,,1439.2,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),TR,Türkiye,2019,,1405.85,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),UK,United Kingdom,2017,,23042.98,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP10,Million euro (at constant 2010 prices),UK,United Kingdom,2018,,21932.08,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),AL,Albania,2019,,30.24,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),AT,Austria,2017,,250.09,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),AT,Austria,2018,,293.92,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),AT,Austria,2019,,276.6,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),BA,Bosnia and Herzegovina,2017,,26.51,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),BA,Bosnia and Herzegovina,2018,,33.69,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),BA,Bosnia and Herzegovina,2019,,36.65,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),BE,Belgium,2017,,73.94,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),BE,Belgium,2018,,79.5,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),BE,Belgium,2019,,160.7,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),BG,Bulgaria,2017,,166.73,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),BG,Bulgaria,2018,,163.27,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),BG,Bulgaria,2019,,149.93,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),CH,Switzerland,2017,,500.41,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),CH,Switzerland,2018,,521.19,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),CH,Switzerland,2019,,599.31,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),CY,Cyprus,2017,,115.88,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),CY,Cyprus,2018,,110.23,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),CY,Cyprus,2019,,111.92,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),CZ,Czechia,2017,,87.42,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),CZ,Czechia,2018,,85.91,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),CZ,Czechia,2019,,75.05,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH_P,Periodic cash benefits,MT,Means-tested,MEUR_KP15,Million euro (at constant 2015 prices),DE,Germany,2017,,3086.52,,,,,
